Statistical profiling result from wlog.log, (8360 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     27   50.9%            Function: ^tryHandleCache /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:254:24
     26   49.1%            Function: ^includeFile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:309:21
     53    1.7%      Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
     41   77.4%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      8   19.5%          Function: ~<anonymous> node:crypto:1:1
      8  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      5   12.2%          Function: ~<anonymous> node:http:1:1
      5  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      4    9.8%          Function: ~<anonymous> node:tls:1:1
      4  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3    7.3%          Function: ~<anonymous> node:internal/cluster/primary:1:1
      3  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3    7.3%          Function: ~<anonymous> node:_http_client:1:1
      3  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    4.9%          LazyCompile: ~lazyLoadStreams node:fs:2858:25
      2  100.0%            LazyCompile: ~get ReadStream node:fs:3001:17
      2    4.9%          Function: ~<anonymous> node:internal/child_process:1:1
      2  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    4.9%          Function: ~<anonymous> node:child_process:1:1
      2  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.4%          LazyCompile: ~lazyRequire node:internal/crypto/util:67:21
      1  100.0%            LazyCompile: ~get node:crypto:287:8
      1    2.4%          LazyCompile: ~initCJSParse node:internal/modules/esm/translators:58:28
      1  100.0%            LazyCompile: ~commonjsStrategy node:internal/modules/esm/translators:148:60
      1    2.4%          Function: ~<anonymous> node:internal/crypto/util:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.4%          Function: ~<anonymous> node:internal/crypto/pbkdf2:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.4%          Function: ~<anonymous> node:internal/crypto/hkdf:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.4%          Function: ~<anonymous> node:internal/crypto/cipher:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.4%          Function: ~<anonymous> node:dns:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.4%          Function: ~<anonymous> node:dgram:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.4%          Function: ~<anonymous> node:assert:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.4%          Function: ~<anonymous> node:_tls_common:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.4%          Function: ~<anonymous> node:_http_server:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.4%          Function: ~<anonymous> node:_http_common:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      8   15.1%        Function: ^compileForPublicLoader node:internal/bootstrap/loaders:246:25
      8  100.0%          Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
      8  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      4    7.5%        LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
      3   75.0%          LazyCompile: ~loadNativeModule node:internal/modules/cjs/helpers:44:26
      3  100.0%            LazyCompile: ~builtinStrategy node:internal/modules/esm/translators:254:58
      1   25.0%          Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
      1  100.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:757:24
     39    1.3%      LazyCompile: *deserializeObject /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/deserializer.js:65:27
     24   61.5%        LazyCompile: *deserializeObject /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/deserializer.js:65:27
     12   50.0%          LazyCompile: *deserializeObject /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/deserializer.js:65:27
      5   41.7%            LazyCompile: *parse /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/commands.js:578:10
      5   41.7%            LazyCompile: *deserializeObject /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/deserializer.js:65:27
      2   16.7%            Function: ^deserialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/deserializer.js:36:21
      8   33.3%          LazyCompile: *parse /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/commands.js:578:10
      8  100.0%            Function: ^onMessage /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:159:14
      4   16.7%          Function: ^deserialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/deserializer.js:36:21
      4  100.0%            Function: ^deserialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/bson.js:175:21
      8   20.5%        LazyCompile: *parse /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/commands.js:578:10
      8  100.0%          Function: ^onMessage /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:159:14
      8  100.0%            Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:63:44
      7   17.9%        Function: ^deserialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/deserializer.js:36:21
      7  100.0%          Function: ^deserialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/bson.js:175:21
      7  100.0%            Function: ^parse /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/commands.js:578:10
     37    1.2%      LazyCompile: *scanLine /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:815:22
     24   64.9%        Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:742:32
     17   70.8%          LazyCompile: *compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:571:21
     17  100.0%            Function: ^compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:381:35
      7   29.2%          /usr/local/bin/node
      7  100.0%            Function: ^generateSource /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:721:28
     13   35.1%        LazyCompile: *<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:742:32
      9   69.2%          /usr/local/bin/node
      9  100.0%            Function: ^generateSource /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:721:28
      4   30.8%          LazyCompile: *compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:571:21
      4  100.0%            Function: ^compile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:381:35

   1643   19.7%  epoll_pwait@@GLIBC_2.6

    174    2.1%  __write@@GLIBC_2.2.5
     74   42.5%    /usr/local/bin/node
      6    8.1%      /usr/local/bin/node
      1   16.7%        LazyCompile: ~setup /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/appenders/index.js:128:15
      1  100.0%          LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/configuration.js:51:21
      1  100.0%            /usr/local/bin/node
      1   16.7%        LazyCompile: ~parseOptions /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/connection_string.js:204:22
      1  100.0%          LazyCompile: ~MongoClient /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/mongo_client.js:60:16
      1  100.0%            LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongoose/lib/connection.js:793:31
      1   16.7%        LazyCompile: ~executeWithoutEncryptedFieldsCheck /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/operations/create_collection.js:74:39
      1  100.0%          LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/operations/create_collection.js:39:10
      1  100.0%            LazyCompile: ~execute /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/operations/create_collection.js:38:12
      1   16.7%        LazyCompile: ~check node:tls:171:15
      1  100.0%          LazyCompile: ~wildcard node:tls:319:22
      1  100.0%            /usr/local/bin/node
      1   16.7%        Function: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/logger.js:1:1
      1  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
      1  100.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
      1   16.7%        Function: ^value node:internal/console/constructor:300:20
      1  100.0%          Function: ^value node:internal/console/constructor:321:20
      1  100.0%            Function: ^log node:internal/console/constructor:359:6
      1    1.4%      LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1017:18
      1  100.0%        LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1059:37
      1  100.0%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1114:37
      1  100.0%            LazyCompile: ~Module.load node:internal/modules/cjs/loader:969:33
      1    1.4%      LazyCompile: ~validate_config /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/@mapbox/node-pre-gyp/lib/util/versioning.js:195:25
      1  100.0%        LazyCompile: ~exports.find /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/@mapbox/node-pre-gyp/lib/pre-binding.js:17:24
      1  100.0%          Function: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bcrypt/bcrypt.js:1:1
      1  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
      1    1.4%      LazyCompile: ~toUSVString node:internal/util:59:21
      1  100.0%        LazyCompile: ~set search node:internal/url:903:13
      1  100.0%          /usr/local/bin/node
      1  100.0%            LazyCompile: ~finalizeResolution node:internal/modules/esm/resolve:397:28
      1    1.4%      LazyCompile: ~setcookie /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express-session/index.js:655:19
      1  100.0%        LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express-session/index.js:220:28
      1  100.0%          LazyCompile: ~writeHead /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/on-headers/index.js:28:29
      1  100.0%            LazyCompile: ~_implicitHeader node:_http_server:265:68
      1    1.4%      LazyCompile: ~sendLogEventToAppender /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/log4js.js:36:32
      1  100.0%        LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/clustering.js:25:21
      1  100.0%          /usr/local/bin/node
      1  100.0%            LazyCompile: ~sendToListeners /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/clustering.js:24:25
      1    1.4%      LazyCompile: ~send /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/response.js:111:25
      1  100.0%        LazyCompile: ~done /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/response.js:1033:27
      1  100.0%          LazyCompile: ~tryHandleCache /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:254:24
      1  100.0%            LazyCompile: ~exports.renderFile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:441:31
      1    1.4%      LazyCompile: ~resolve /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/view.js:146:42
      1  100.0%        LazyCompile: ~lookup /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/view.js:104:40
      1  100.0%          LazyCompile: ~View /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/view.js:52:14
      1  100.0%            LazyCompile: ~render /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/application.js:548:29
      1    1.4%      LazyCompile: ~remotePort node:net:760:46
      1  100.0%        LazyCompile: ~streamIdentifier /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:451:26
      1  100.0%          LazyCompile: ~Connection /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:40:16
      1  100.0%            LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:31:63
      1    1.4%      LazyCompile: ~reduceToSingleString node:internal/util/inspect:1902:30
      1  100.0%        LazyCompile: ~formatRaw node:internal/util/inspect:820:19
      1  100.0%          Function: ^formatValue node:internal/util/inspect:745:21
      1  100.0%            Function: ^inspect node:internal/util/inspect:292:17
      1    1.4%      LazyCompile: ~realpathSync node:fs:2425:22
      1  100.0%        LazyCompile: ~finalizeResolution node:internal/modules/esm/resolve:397:28
      1  100.0%          LazyCompile: ~moduleResolve node:internal/modules/esm/resolve:988:23
      1  100.0%            LazyCompile: ~defaultResolve node:internal/modules/esm/resolve:1128:30
      1    1.4%      LazyCompile: ~readableAddChunk node:internal/streams/readable:236:26
      1  100.0%        LazyCompile: ~Readable.push node:internal/streams/readable:227:35
      1  100.0%          LazyCompile: ~writeCommand /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/message_stream.js:40:17
      1  100.0%            LazyCompile: ~write /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:462:15
      1    1.4%      LazyCompile: ~randomBytes node:internal/crypto/random:91:21
      1  100.0%        LazyCompile: ~uuidV4 /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/utils.js:438:16
      1  100.0%          LazyCompile: ~ServerSession /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sessions.js:540:16
      1  100.0%            LazyCompile: ~acquire /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sessions.js:611:12
      1    1.4%      LazyCompile: ~prepare /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/auth/scram.js:16:12
      1  100.0%        LazyCompile: ~prepareHandshakeDocument /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:146:34
      1  100.0%          LazyCompile: ~performInitialHandshake /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:62:33
      1  100.0%            LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:31:63
      1    1.4%      LazyCompile: ~performInitialHandshake /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:62:33
      1  100.0%        LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:31:63
      1  100.0%          LazyCompile: ~callback /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:261:31
      1  100.0%            LazyCompile: ~connectHandler /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connect.js:305:28
      1    1.4%      LazyCompile: ~patch /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/graceful-fs/graceful-fs.js:102:16
      1  100.0%        Function: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/graceful-fs/graceful-fs.js:1:1
      1  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
      1  100.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
      1    1.4%      LazyCompile: ~passwordDigest /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/auth/scram.js:182:24
      1  100.0%        LazyCompile: ~continueScramConversation /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/auth/scram.js:93:35
      1  100.0%          LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/auth/scram.js:85:80
      1  100.0%            LazyCompile: ~onMessage /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:159:14
      1    1.4%      LazyCompile: ~onceWrapper node:events:636:21
      1  100.0%        LazyCompile: ~emit node:events:475:44
      1  100.0%          LazyCompile: ~emitConstructNT node:internal/streams/destroy:304:25
      1  100.0%            LazyCompile: ~processTicksAndRejections node:internal/process/task_queues:68:35
      1    1.4%      LazyCompile: ~onWriteComplete node:internal/stream_base_commons:80:25
      1    1.4%      LazyCompile: ~onParseError node:internal/url:552:22
      1  100.0%        /usr/local/bin/node
      1  100.0%          Function: ^URL node:internal/url:621:14
      1  100.0%            LazyCompile: ~defaultResolve node:internal/modules/esm/resolve:1128:30
      1    1.4%      LazyCompile: ~onEofChunk node:internal/streams/readable:533:20
      1  100.0%        Function: ^readableAddChunk node:internal/streams/readable:236:26
      1  100.0%          Function: ^Readable.push node:internal/streams/readable:227:35
      1  100.0%            LazyCompile: ~parserOnMessageComplete node:_http_common:147:33
      1    1.4%      LazyCompile: ~module.exports /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/qs/lib/parse.js:239:27
      1  100.0%        Function: ^parseExtendedQueryString /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/utils.js:289:34
      1  100.0%          Function: ^query /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/middleware/query.js:39:24
      1  100.0%            Function: ^handle /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/layer.js:86:49
      1    1.4%      LazyCompile: ~module.exports /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongoose/lib/helpers/getFunctionName.js:5:26
      1  100.0%        Function: ^clone /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongoose/lib/helpers/clone.js:29:15
      1  100.0%          Function: ^cloneObject /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongoose/lib/helpers/clone.js:119:21
      1  100.0%            Function: ^clone /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongoose/lib/helpers/clone.js:29:15
      1    1.4%      LazyCompile: ~log /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/logger.js:82:6
      1  100.0%        Function: ^Logger.<computed> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/logger.js:148:43
      1  100.0%          Function: ^<anonymous> file:///home/sashashadow/Escritorio/Coding/backend-coder/Clase%2032/Entregable/middlewares.js:32:12
      1  100.0%            Function: ^handle /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/layer.js:86:49
      1    1.4%      LazyCompile: ~hrtime node:internal/process/per_thread:79:16
      1  100.0%        Function: ^now /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/utils.js:624:13
      1  100.0%          LazyCompile: ~wake /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/utils.js:657:18
      1  100.0%            LazyCompile: ~requestCheck /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/monitor.js:97:17
      1    1.4%      LazyCompile: ~get_runtime_abi /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/@mapbox/node-pre-gyp/lib/util/versioning.js:76:25
      1  100.0%        LazyCompile: ~module.exports.evaluate /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/@mapbox/node-pre-gyp/lib/util/versioning.js:277:35
      1  100.0%          LazyCompile: ~exports.find /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/@mapbox/node-pre-gyp/lib/pre-binding.js:17:24
      1  100.0%            Function: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bcrypt/bcrypt.js:1:1
      1    1.4%      LazyCompile: ~get isMongoClient /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/mongo_client.js:87:30
      1  100.0%        LazyCompile: ~AbstractCursor /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cursor/abstract_cursor.js:50:16
      1  100.0%          LazyCompile: ~FindCursor /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cursor/find_cursor.js:29:16
      1  100.0%            LazyCompile: ~find /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/collection.js:235:9
      1    1.4%      LazyCompile: ~get address /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection_pool.js:85:16
      1  100.0%        LazyCompile: ~ConnectionPoolMonitoringEvent /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection_pool_events.js:11:16
      1  100.0%          LazyCompile: ~ConnectionCheckOutStartedEvent /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection_pool_events.js:90:16
      1  100.0%            LazyCompile: ~checkOut /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection_pool.js:126:13
      1    1.4%      LazyCompile: ~formatRaw node:internal/util/inspect:820:19
      1  100.0%        LazyCompile: ~formatValue node:internal/util/inspect:745:21
      1  100.0%          LazyCompile: ~formatProperty node:internal/util/inspect:1810:24
      1  100.0%            LazyCompile: ~formatRaw node:internal/util/inspect:820:19
      1    1.4%      LazyCompile: ~etag /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/etag/index.js:70:15
      1  100.0%        LazyCompile: ~generateETag /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/utils.js:273:32
      1  100.0%          LazyCompile: ~send /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/response.js:111:25
      1  100.0%            LazyCompile: ~done /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/response.js:1033:27
      1    1.4%      LazyCompile: ~enable /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express-session/node_modules/debug/src/debug.js:138:16
      1  100.0%        Function: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express-session/node_modules/debug/src/node.js:1:1
      1  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
      1  100.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
      1    1.4%      LazyCompile: ~emit node:events:475:44
      1  100.0%        LazyCompile: ~connect /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/topology.js:158:12
      1  100.0%          LazyCompile: ~createTopology /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/operations/connect.js:44:24
      1  100.0%            LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/operations/connect.js:32:67
      1    1.4%      LazyCompile: ~deserializeObject /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/deserializer.js:65:27
      1  100.0%        LazyCompile: ~deserializeObject /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/deserializer.js:65:27
      1  100.0%          LazyCompile: ~deserialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/deserializer.js:36:21
      1  100.0%            LazyCompile: ~deserialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/bson.js:175:21
      1    1.4%      LazyCompile: ~createDebug /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/node_modules/debug/src/debug.js:63:21
      1  100.0%        Function: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/route.js:1:1
      1  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1059:37
      1  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1114:37
      1    1.4%      LazyCompile: ~createAppender /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/appenders/index.js:74:24
      1  100.0%        LazyCompile: ~getAppender /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/appenders/index.js:59:21
      1  100.0%          LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/appenders/index.js:139:41
      1  100.0%            /usr/local/bin/node
      1    1.4%      LazyCompile: ~continueScramConversation /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/auth/scram.js:93:35
      1  100.0%        LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/auth/scram.js:85:80
